2, 2, 0.00011802
2, 3, 0.00016713
2, 4, 0.00007820
3, 2, 0.00003695
3, 3, 0.00006819
3, 4, 0.00098801
4, 2, 0.00108099
4, 3, 0.00022793
4, 4, 0.00045490

2, 2, 0.00003982
2, 3, 0.00003099
2, 4, 0.00004578
3, 2, 0.00003195
3, 3, 0.00006390
3, 4, 0.00012994
4, 2, 0.00003982
4, 3, 0.00009799
4, 4, 0.00035310

2, 2, 0.00002098
2, 3, 0.00002980
2, 4, 0.00004101
3, 2, 0.00002909
3, 3, 0.00005198
3, 4, 0.00018096
4, 2, 0.00003910
4, 3, 0.00010109
4, 4, 0.00030112

2, 2, 0.00002289
2, 3, 0.00002885
2, 4, 0.00003982
3, 2, 0.00003004
3, 3, 0.00005698
3, 4, 0.00012994
4, 2, 0.00004506
4, 3, 0.00010920
4, 4, 0.00030589

2, 2, 0.00002217
2, 3, 0.00002789
2, 4, 0.00010395
3, 2, 0.00005293
3, 3, 0.00008798
3, 4, 0.00018907
4, 2, 0.00006294
4, 3, 0.00015593
4, 4, 0.00042915

2, 2, 0.00002789
2, 3, 0.00003695
2, 4, 0.00005412
3, 2, 0.00004005
3, 3, 0.00007200
3, 4, 0.00015497
4, 2, 0.00005198
4, 3, 0.00012994
4, 4, 0.00039887

2, 2, 0.00002813
2, 3, 0.00003791
2, 4, 0.00005388
3, 2, 0.00003886
3, 3, 0.00007010
3, 4, 0.00015402
4, 2, 0.00005293
4, 3, 0.00012994
4, 4, 0.00039411

2, 2, 0.00002694
2, 3, 0.00004697
2, 4, 0.00004697
3, 2, 0.00003195
3, 3, 0.00006080
3, 4, 0.00013399
4, 2, 0.00004506
4, 3, 0.00011015
4, 4, 0.00033998

2, 2, 0.00002503
2, 3, 0.00003195
2, 4, 0.00004601
3, 2, 0.00003815
3, 3, 0.00006008
3, 4, 0.00013280
4, 2, 0.00004506
4, 3, 0.00010991
4, 4, 0.00033689

2, 2, 0.00002384
2, 3, 0.00003195
2, 4, 0.00004601
3, 2, 0.00003195
3, 3, 0.00006199
3, 4, 0.00013208
4, 2, 0.00004292
4, 3, 0.00010991
4, 4, 0.00034499

